branchNo,branch_fbus,branch_tbus,branch_b,branch_rateA,branch_rateC
1, 7351, 5441, -1250.0000, 0, 0
2, 4314, 7571, -59.8802, 319, 0
3, 5803, 3916, -232.5581, 0, 0
4, 6757, 6036, -400.0000, 657, 0
5, 6757, 6921, -263.1579, 1315, 0
6, 5019, 9112, -1666.6667, 0, 0
7, 2930, 9112, -1428.5714, 0, 0
8, 1436, 9112, -1666.6667, 0, 0
9, 1851, 9112, -1666.6667, 0, 0
10, 8331, 9112, -1666.6667, 0, 0
11, 6220, 8791, -204.0816, 529, 0
12, 9203, 7842, -1250.0000, 887, 0
13, 9203, 8997, -161.2903, 1611, 0
14, 9203, 2129, -133.3333, 0, 0
15, 9203, 29, -113.6364, 1315, 0
16, 118, 8903, -1111.1111, 657, 0
17, 118, 4598, -138.8889, 953, 0
18, 2426, 5533, -500.0000, 319, 0
19, 2426, 4831, -26.5252, 300, 0
20, 2426, 8961, -47.3934, 0, 0
21, 2426, 8522, -27.7778, 300, 0
22, 2426, 6888, -26.9542, 0, 0
23, 2426, 3401, -149.2537, 414, 0
24, 2426, 641, -112.3596, 0, 0
25, 2426, 2600, -322.5806, 0, 0
26, 2426, 5351, -57.1429, 300, 0
27, 3051, 718, -5000.0000, 510, 0
28, 3036, 2327, -1428.5714, 357, 0
29, 8651, 7473, -31.1526, 395, 0
30, 8651, 7473, -34.0136, 376, 0
31, 903, 3654, -2500.0000, 0, 0
32, 8732, 7050, -714.2857, 472, 0
33, 8732, 3912, -1428.5714, 453, 0
34, 2273, 1973, -1666.6667, 338, 0
35, 5131, 2928, -1111.1111, 0, 0
36, 6629, 4918, -72.9927, 319, 0
37, 6629, 7309, -85.4701, 0, 0
38, 413, 1102, -1666.6667, 433, 0
39, 413, 1102, -1666.6667, 395, 0
40, 3248, 4918, -238.0952, 472, 0
41, 3248, 4281, -53.4759, 453, 0
42, 3248, 7309, -294.1176, 0, 0
43, 1146, 1187, -78.1250, 281, 0
44, 1146, 7945, -294.1176, 0, 0
45, 8900, 2421, -833.3333, 0, 0
46, 6071, 2972, -27.5482, 376, 0
47, 6071, 6031, -84.0336, 472, 0
48, 3293, 7264, -90.0901, 414, 0
49, 3293, 283, -129.8701, 376, 0
50, 3293, 3069, -30.2115, 395, 0
51, 3293, 3390, -98.0392, 357, 0
52, 4689, 4936, -322.5806, 0, 0
53, 4689, 4936, -312.5000, 0, 0
54, 3218, 7809, -52.3560, 281, 0
55, 3218, 5455, -18.7970, 319, 0
56, 3218, 1857, -65.3595, 0, 0
57, 6806, 5410, -250.0000, 395, 0
58, 6806, 5410, -270.2703, 338, 0
59, 6806, 1609, -128.2051, 414, 0
60, 6806, 1609, -128.2051, 472, 0
61, 6806, 1609, -128.2051, 0, 0
62, 6806, 2438, -312.5000, 0, 0
63, 6806, 954, -370.3704, 414, 0
64, 9140, 502, -80.0000, 491, 0
65, 9140, 3013, -138.8889, 0, 0
66, 9140, 2949, -114.9425, 395, 0
67, 9140, 2949, -116.2791, 433, 0
68, 9140, 2949, -117.6471, 433, 0
69, 7070, 2208, -1250.0000, 281, 0
70, 7070, 8060, -833.3333, 281, 0
71, 7070, 4484, -769.2308, 376, 0
72, 7070, 4239, -285.7143, 433, 0
73, 8535, 7047, -1428.5714, 0, 0
74, 5477, 3657, -833.3333, 491, 0
75, 5477, 2928, -400.0000, 433, 0
76, 3145, 2918, -47.3934, 0, 0
77, 7770, 5317, -212.7660, 357, 0
78, 7770, 5317, -200.0000, 319, 0
79, 3, 8676, -113.6364, 0, 0
80, 3, 8189, -23.5849, 395, 0
81, 7267, 2938, -125.0000, 723, 0
82, 7267, 2938, -126.5823, 657, 0
83, 7267, 3918, -46.9484, 986, 0
84, 7267, 3918, -48.0769, 854, 0
85, 7267, 6581, -69.9301, 1151, 0
86, 7267, 6581, -71.4286, 723, 0
87, 7267, 3830, -68.9655, 1118, 0
88, 7267, 5648, -66.2252, 1052, 0
89, 7267, 5648, -52.6316, 1282, 0
90, 4918, 4907, -28.0899, 472, 0
91, 4918, 5957, -20.9205, 433, 0
92, 4918, 5233, -29.5858, 281, 0
93, 6854, 7309, -5000.0000, 510, 0
94, 8311, 3680, -434.7826, 0, 0
95, 2770, 8804, -232.5581, 433, 0
96, 9241, 8804, -238.0952, 0, 0
97, 3083, 7124, -232.5581, 510, 0
98, 3083, 7124, -212.7660, 453, 0
99, 3083, 8873, -196.0784, 338, 0
100, 1566, 7582, -76.9231, 0, 0
101, 1566, 3541, -78.7402, 0, 0
102, 8683, 3698, -1000.0000, 0, 0
103, 8683, 3698, -1111.1111, 0, 0
104, 8683, 2801, -80.6452, 281, 0
105, 8683, 8328, -476.1905, 472, 0
106, 8683, 8511, -714.2857, 529, 0
107, 8683, 6570, -70.9220, 529, 0
108, 8683, 6570, -76.9231, 529, 0
109, 8683, 8975, -416.6667, 0, 0
110, 8683, 216, -200.0000, 338, 0
111, 8683, 2961, -1428.5714, 529, 0
112, 8683, 6773, -5000.0000, 0, 0
113, 8683, 5278, -5000.0000, 0, 0
114, 3768, 2751, -1111.1111, 0, 0
115, 2276, 5546, -128.2051, 0, 0
116, 2276, 6816, -84.7458, 319, 0
117, 7766, 444, -94.3396, 0, 0
118, 7766, 5334, -98.0392, 0, 0
